"","SAMPLE_ID","basic_statistics","per_base_sequence_quality","per_tile_sequence_quality","per_sequence_quality_scores","per_base_sequence_content","per_sequence_gc_content","per_base_n_content","sequence_length_distribution","sequence_duplication_levels","overrepresented_sequences","adapter_content","kmer_content","SeqLength_R1","percentGC_R1","phred20.21_R1","phred48.49_R1","phred76.77_R1","phred100.101_R1","phredGT30_R1","phredGT35_R1","Adapter50.51_R1","Adapter70.71_R1","Adapter90_R1","SeqLength_R2","percentGC_R2","phred20.21_R2","phred48.49_R2","phred76.77_R2","phred100.101_R2","phredGT30_R2","phredGT35_R2","Adapter50.51_R2","Adapter70.71_R2","Adapter90_R2","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","bamFile","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Unmapped","gene_Unassigned_Read_Type","gene_Unassigned_Singleton","gene_Unassigned_MappingQuality","gene_Unassigned_Chimera","gene_Unassigned_FragmentLength","gene_Unassigned_Duplicate","gene_Unassigned_MultiMapping","gene_Unassigned_Secondary","gene_Unassigned_NonSplit","gene_Unassigned_NoFeatures","gene_Unassigned_Overlapping_Length","gene_Unassigned_Ambiguity","rRNA_rate","Adapter88.89_R1","Adapter88.89_R2","ERCCsumLogErr","gene_Unassigned_Nonjunction"
"R22226","R22226","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL/WARN","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0594024139343975,0.261580461771404,1.40582015348822,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.0639994915020253,0.26704463339864,1.40522113754939,FALSE,108177422,97958933,10218489,0.9055,0.8748,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22226_sorted.bam",128673684,2803376,0.0213221682930847,0.237781903670617,19753175,0,0,0,0,0,0,0,43478472,0,0,17570375,0,2270637,2.60211333114803e-05,NA,NA,NA,NA
"R22227","R22227","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL/WARN","PASS","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.0943539377577951,0.60288540680285,3.3628773564612,"101","51","41.0","41.0","41.0","41.0",NA,NA,0.0959966659155926,0.600609094668866,3.32612670391491,FALSE,143785202,131218506,12566696,0.9126,0.8729,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22227_sorted.bam",167822855,4867234,0.0281847906164435,0.295486580572975,30301549,0,0,0,0,0,0,0,47797815,0,0,19426867,0,5021739,0.00010712323650517,NA,NA,NA,NA
"R22228","R22228","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.0887710475033138,0.793310699341709,4.12669681763716,"101","51","41.0","41.0","41.0","41.0",NA,NA,0.088931653880948,0.776831284201091,4.01118480825775,FALSE,133245020,113277003,19968017,0.8501,0.8059,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22228_sorted.bam",149238226,5401666,0.0349306115656108,0.271539081902383,26143032,0,0,0,0,0,0,0,50871521,0,0,13842877,0,5419805,3.69123214170414e-05,NA,NA,NA,NA
"R22229","R22229","PASS","PASS","FAIL","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","50","41.0","41.0","39.0","39.0",NA,NA,0.0394831500958576,0.251160540137871,1.69793332628275,"101","50","41.0","41.0","39.0","39.0",NA,NA,0.0441281346312113,0.264928243038846,1.76731579635183,FALSE,191927442,167628208,24299234,0.8734,0.8296,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22229_sorted.bam",234399060,8340214,0.0343587333955691,0.208412954239911,35325467,0,0,0,0,0,0,0,108390968,0,0,20893950,0,4887078,0.0071012790857089,NA,NA,NA,NA
"R22230","R22230","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL/WARN","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0541633634974738,0.240378426937417,1.40401969388972,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.0570185596737124,0.243669428037487,1.39701648847712,FALSE,178061320,165314005,12747315,0.9284,0.8954,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22230_sorted.bam",197471932,3560390,0.0177105351247945,0.369419674350035,43124400,0,0,0,0,0,0,0,43513762,0,0,24504385,0,5592979,1.26146682620512e-05,NA,NA,NA,NA
"R22231","R22231","PASS","PASS","PASS/FAIL","PASS","FAIL/WARN","FAIL/WARN","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","NA","101","46","41.0","41.0","39.0","41.0",NA,NA,0.0372284743620232,0.210443897870288,1.42253268685803,"101","46","41.0","41.0","39.0","39.0",NA,NA,0.0383225936467086,0.206243261330871,1.36593865639061,FALSE,112601982,94036444,18565538,0.8351,0.7564,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22231_sorted.bam",107547524,1632459,0.0149519990308114,0.359509400075257,22586896,0,0,0,0,0,0,0,17417915,0,0,20461531,0,2360655,1.50087023909793e-05,NA,NA,NA,NA
"R22232","R22232","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0728066291403247,0.679888457859163,4.01571873075441,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0757410293377299,0.670006293557999,3.92452684583181,FALSE,125954190,111659221,14294969,0.8865,0.8349,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22232_sorted.bam",126583772,1611811,0.0125730618971482,0.33858342810194,23875419,0,0,0,0,0,0,0,18426280,0,0,25032749,0,3181168,2.08163886045309e-05,NA,NA,NA,NA
"R22233","R22233","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0434468691648748,0.444398519689827,2.68378759872515,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.0442211661957827,0.435839956508191,2.61881466480924,FALSE,164665490,146986831,17678659,0.8926,0.8481,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22233_sorted.bam",174447862,2888712,0.0162894316431308,0.39417583580062,39285066,0,0,0,0,0,0,0,33350342,0,0,20260801,0,6767602,1.6520272614535e-05,NA,NA,NA,NA
"R22234","R22234","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN/FAIL","PASS","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.0709301018837213,0.491024284889622,2.75684523710378,"101","51","41.0","41.0","41.0","41.0",NA,NA,0.0736835138540473,0.483997985454234,2.67151496057896,FALSE,117672184,103770032,13902152,0.8819,0.8269,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22234_sorted.bam",132755765,4092941,0.0299085107900107,0.260349407456778,22561574,0,0,0,0,0,0,0,44145428,0,0,16584341,0,3367483,4.80019700753148e-05,NA,NA,NA,NA
"R22235","R22235","PASS","PASS","PASS/FAIL","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0349436909363334,0.183307699297833,1.20300751879699,"101","49","41.0","41.0","41.0","39.0",NA,NA,0.0364011912442162,0.181476543041695,1.1587321135417,FALSE,123910780,99117629,24793151,0.7999,0.7289,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22235_sorted.bam",114599767,2050780,0.0175805433642759,0.461984905787423,30133822,0,0,0,0,0,0,0,18255518,0,0,11876036,0,4961478,9.1259582007221e-06,NA,NA,NA,NA
"R22236","R22236","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","WARN","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0799417517367258,1.14347357691354,5.21623032465544,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0816321157802529,1.12790715070961,5.12158965429939,FALSE,172448060,151100007,21348053,0.8762,0.8259,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22236_sorted.bam",179370221,2990636,0.0163995500415969,0.390299970372761,40099385,0,0,0,0,0,0,0,34576494,0,0,21897585,0,6166449,1.51872653408525e-05,NA,NA,NA,NA
"R22237","R22237","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0733459415264046,0.295101300377896,1.77511125285224,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.078699554366286,0.30384661316147,1.7799148416907,FALSE,145266388,132876846,12389542,0.9147,0.8797,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22237_sorted.bam",163506903,3184196,0.0191023757063357,0.286214015144839,28663244,0,0,0,0,0,0,0,42682809,0,0,25457729,0,3342411,2.00256467830368e-05,NA,NA,NA,NA
"R22238","R22238","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL","FAIL","PASS","NA","101","52","41.0","41.0","41.0","41.0",NA,NA,0.0617891529877261,0.29105159801077,1.73008452423337,"101","52","41.0","41.0","41.0","41.0",NA,NA,0.0608542788622799,0.286187606688284,1.68571181161569,FALSE,136061098,125333009,10728089,0.9212,0.8912,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22238_sorted.bam",201682943,10810438,0.0508742340543774,0.127500095309707,20327037,0,0,0,0,0,0,0,123186790,0,0,13901094,0,2012701,0.00100688555838217,NA,NA,NA,NA
"R22239","R22239","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.136312037485266,0.828722631480888,3.94737556018068,"101","47","41.0","41.0","41.0","41.0",NA,NA,0.140117530014688,0.827407851434939,3.91664538026024,FALSE,93627828,83849946,9777882,0.8956,0.8514,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22239_sorted.bam",97763629,1361334,0.013733513322976,0.307485770933945,17515954,0,0,0,0,0,0,0,18665503,0,0,18940766,0,1842865,1.93537845554972e-05,NA,NA,NA,NA
"R22240","R22240","PASS","FAIL/PASS","FAIL","PASS","FAIL/WARN","FAIL","FAIL/PASS","PASS","WARN/FAIL","WARN/FAIL","PASS","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.224026404530979,1.19317079402587,4.93565471525505,"101","51","41.0","41.0","41.0","41.0",NA,NA,0.224728823808417,1.17946634580907,4.86312500535798,FALSE,116881758,98029705,18852053,0.8387,0.7947,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22240_sorted.bam",124031782,2370520,0.0187537723798733,0.325871312777964,23916670,0,0,0,0,0,0,0,31841798,0,0,13331680,0,4302842,1.4048778529787e-05,NA,NA,NA,NA
"R22241","R22241","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","WARN","FAIL/WARN","PASS","NA","101","46","41.0","41.0","39.0","39.0",NA,NA,0.0156550807628541,0.120992397164111,0.843912982195279,"101","47","41.0","41.0","39.0","41.0",NA,NA,0.0227414488518282,0.148422372261964,0.94621572413985,FALSE,128782472,116015620,12766852,0.9009,0.8366,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22241_sorted.bam",133927665,2168686,0.0159349312752698,0.326813528543277,25830905,0,0,0,0,0,0,0,24881326,0,0,25109696,0,3216738,1.40529338790104e-05,NA,NA,NA,NA
"R22242","R22242","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","FAIL","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.104688265313352,1.03509142573167,4.62886909749293,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.103337006813373,1.00181064310353,4.46723174330007,FALSE,138611524,108067713,30543811,0.7796,0.7338,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22242_sorted.bam",123894020,1693508,0.0134846829694745,0.365141255256554,25673981,0,0,0,0,0,0,0,20240140,0,0,20895798,0,3502544,1.88517705921805e-05,NA,NA,NA,NA
"R22243","R22243","PASS","PASS","FAIL/WARN","PASS","FAIL","FAIL","PASS/WARN","PASS","FAIL","FAIL","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0332019794952455,0.237495807060953,1.58266189142139,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.0346164826170905,0.228313996122884,1.50217739669158,FALSE,136443672,105857468,30586204,0.7758,0.7363,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22243_sorted.bam",134014946,3621744,0.0263137975782475,0.274863213866045,22212475,0,0,0,0,0,0,0,36122877,0,0,17566863,0,4910618,3.65560343905846e-05,NA,NA,NA,NA
"R22244","R22244","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL","PASS","WARN","FAIL","WARN","PASS","NA","75-101","53","41.0","41.0","41.0","41.0",NA,NA,3.60296402390117e-05,6.45814306170964e-05,0.00300337642596139,"75-101","53","41.0","41.0","41.0","41.0",NA,NA,4.28276855671271e-05,0.000138000320160743,0.000785854039930141,TRUE,147101108,144869160,2231948,0.9848,0.972,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22244_sorted.bam",241935410,15719961,0.0610115789125157,0.112257168871873,22501106,0,0,0,0,0,0,0,164214764,0,0,11845997,0,1880619,0.000968663495918823,NA,NA,NA,NA
"R22245","R22245","PASS","FAIL/PASS","FAIL","PASS","FAIL/WARN","FAIL","FAIL/PASS","PASS","WARN","WARN","WARN","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.100596029787966,1.10496341996358,6.63887200824955,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.101397416417537,1.09104539838561,6.54678084584568,FALSE,131771602,114530106,17241496,0.8692,0.8192,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22245_sorted.bam",134541805,2111750,0.0154533118439546,0.380176337484065,28315672,0,0,0,0,0,0,0,22618335,0,0,19227027,0,4319330,1.47621430280729e-05,NA,NA,NA,NA
"R22246","R22246","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0355985605484471,0.160991367149428,1.00641083530973,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0375065430037356,0.160290490186218,0.967968839024476,FALSE,140252862,122679339,17573523,0.8747,0.8309,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22246_sorted.bam",141354684,2038693,0.0142174836987067,0.34440774679568,27556992,0,0,0,0,0,0,0,23549297,0,0,24682488,0,4223918,1.35718731565477e-05,NA,NA,NA,NA
"R22247","R22247","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0457506970721537,0.193668493572701,1.11690896622211,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0469351633097975,0.190761042145182,1.07024788289056,FALSE,145213088,125383907,19829181,0.8634,0.8196,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22247_sorted.bam",150416501,2826485,0.0184444657062477,0.343473320015047,30261349,0,0,0,0,0,0,0,32223282,0,0,20493470,0,5125828,1.02440905724328e-05,NA,NA,NA,NA
"R22248","R22248","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","WARN","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.175651431839393,2.2581994008703,9.20943295859594,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.17962059918502,2.2277400337078,9.06408340034401,FALSE,182229656,152134814,30094842,0.8349,0.782,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22248_sorted.bam",191254504,3587699,0.0184133567818467,0.241346144032537,29133229,0,0,0,0,0,0,0,56451601,0,0,31733287,0,3393275,0.000165721417286082,NA,NA,NA,NA
"R22249","R22249","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0409856411976525,0.242066553861219,1.69594170179256,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0441123599097658,0.246546464334052,1.69209187123332,FALSE,118238970,108225209,10013761,0.9153,0.8786,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22249_sorted.bam",124246886,1839262,0.0145873438849127,0.388237119816454,27151811,0,0,0,0,0,0,0,19910622,0,0,20146926,0,2726795,1.94093867256221e-05,NA,NA,NA,NA
"R22250","R22250","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","FAIL","WARN/FAIL","PASS","NA","101","54","41.0","41.0","39.0","39.0",NA,NA,0.0678857178073198,0.38439576614982,1.87665373661811,"101","55","41.0","41.0","41.0","41.0",NA,NA,0.0785284158853528,0.422792440128897,2.04008433567876,FALSE,84377100,79829364,4547736,0.9461,0.9107,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22250_sorted.bam",154836003,4414860,0.0277226755122828,0.0328921175389286,4686457,0,0,0,0,0,0,0,130350221,0,0,7135093,0,307867,0.000970029171290807,NA,NA,NA,NA
"R22251","R22251","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL/WARN","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0763058702527328,0.301951776741447,1.56778653802632,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.080638667798806,0.308777259243108,1.57067801720503,FALSE,113090906,102070244,11020662,0.9026,0.8649,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22251_sorted.bam",132689948,2357906,0.0174597813305497,0.253148663405461,21313553,0,0,0,0,0,0,0,41905735,0,0,17297971,0,3676561,2.82918572984992e-05,NA,NA,NA,NA
"R22252","R22252","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","FAIL/WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0397514803757067,0.198090912637931,1.24899641817635,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0419181227468153,0.200583803333445,1.24092195626037,FALSE,135786138,124822582,10963556,0.9193,0.8824,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22252_sorted.bam",143395287,2421551,0.0166067995521889,0.326312797597898,26972668,0,0,0,0,0,0,0,25356900,0,0,27633515,0,2695851,1.44590813189114e-05,NA,NA,NA,NA
"R22253","R22253","PASS","PASS","WARN/PASS","PASS","FAIL","WARN","PASS","PASS","FAIL/WARN","FAIL","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0442604999945867,0.270468908941942,1.80498625950931,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0447323889388853,0.256208866947929,1.67490588972009,FALSE,126724732,97395629,29329103,0.7686,0.7218,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22253_sorted.bam",115249142,1465383,0.0125552753609716,0.302539361479437,20462260,0,0,0,0,0,0,0,23344891,0,0,21738275,0,2089608,1.92060896499214e-05,NA,NA,NA,NA
"R22254","R22254","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.101682376619625,0.556700969087137,3.10751810881518,"101","51","41.0","41.0","41.0","41.0",NA,NA,0.105431468931354,0.561533218846026,3.09341841366728,FALSE,128697818,114223106,14474712,0.8875,0.8486,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22254_sorted.bam",145158036,3014285,0.020343104431765,0.326564100950732,29064156,0,0,0,0,0,0,0,40891563,0,0,13828334,0,5215797,1.83387399930003e-05,NA,NA,NA,NA
"R22255","R22255","PASS","PASS","PASS/FAIL","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0708399218762313,0.417756255394649,2.62977364343777,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.0721998854470993,0.410864123707997,2.53792042859809,FALSE,105076344,85238084,19838260,0.8112,0.7376,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22255_sorted.bam",108967333,2449014,0.021980742197552,0.277124603347288,19202878,0,0,0,0,0,0,0,32469803,0,0,14632151,0,2988467,2.20279481023626e-05,NA,NA,NA,NA
"R22256","R22256","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL/WARN","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.072281169816209,0.234805792143942,1.17391389877741,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0754479714022822,0.240227065463935,1.17547131784154,FALSE,134710050,124295148,10414902,0.9227,0.8902,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22256_sorted.bam",143881267,2417314,0.0165231541104285,0.401147423857866,33280210,0,0,0,0,0,0,0,26449958,0,0,19547460,0,3684914,1.03064253500804e-05,NA,NA,NA,NA
"R22257","R22257","PASS","PASS","FAIL","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","WARN","WARN","PASS","NA","101","48","41.0","41.0","39.0","39.0",NA,NA,0.0429985422961028,0.401240838900861,2.61775071595736,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0577502604775268,0.469732102059958,2.97277568093476,FALSE,118731932,104500346,14231586,0.8801,0.8184,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22257_sorted.bam",122886474,3280570,0.0260017980606726,0.291861066897937,22555649,0,0,0,0,0,0,0,30477372,0,0,22300852,0,1948271,1.93299691797829e-05,NA,NA,NA,NA
"R22258","R22258","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.10295439421751,0.722310422350831,3.70130575156238,"101","51","41.0","41.0","41.0","41.0",NA,NA,0.105526736884366,0.723943321848067,3.68637499758666,FALSE,123583846,107281228,16302618,0.8681,0.8323,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22258_sorted.bam",140409241,3317957,0.0230851018190725,0.32660599493479,29380422,0,0,0,0,0,0,0,46310482,0,0,10165999,0,4099872,1.12660056414438e-05,NA,NA,NA,NA
"R22259","R22259","PASS","PASS","FAIL/WARN","PASS","FAIL","FAIL","PASS/WARN","PASS","FAIL","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.021122592809709,0.11962320030274,0.832335706336802,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.02117578982538,0.11585550055791,0.792147471989998,FALSE,118427696,94362859,24064837,0.7968,0.7596,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22259_sorted.bam",106445731,2077558,0.0191438908564594,0.560313725549369,32677650,0,0,0,0,0,0,0,14263342,0,0,5804428,0,5574854,4.92691487912993e-06,NA,NA,NA,NA
"R22260","R22260","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.161773188799314,0.645645534770545,3.28852070437749,"101","51","41.0","41.0","39.0","39.0",NA,NA,0.158269976896089,0.59883684474039,2.99765656486228,FALSE,161965652,126693042,35272610,0.7822,0.7204,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22260_sorted.bam",168785298,4653956,0.026833348810414,0.199046101588754,23783117,0,0,0,0,0,0,0,69078643,0,0,23656624,0,2967086,0.000100113033964387,NA,NA,NA,NA
"R22261","R22261","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","WARN","PASS/WARN","PASS","WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0842995016398038,0.625490361703891,3.62593379406489,"101","47","41.0","41.0","41.0","41.0",NA,NA,0.0857533084239254,0.623823636527251,3.59702969644361,FALSE,117415878,105735317,11680561,0.9005,0.8557,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22261_sorted.bam",123086591,2421738,0.0192954365602302,0.304397990122,21937856,0,0,0,0,0,0,0,24031942,0,0,24208754,0,1891096,3.19994807149796e-05,NA,NA,NA,NA
